title,link
"Maharshi Mahesh Yogi's Transcendental Truth | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/l3qE6YcJqII
"We’ve forgotten to respect our elders and love our parents | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/Klt9k2zxpmI
"God Has No Birth, No Death | Sri Sathya Sai Speaks | Oct 10, 2002",https://www.youtube.com/shorts/zkEy9jBTpLY
"Let Parents Speak of the World; Stay Focussed on Your Goal | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/QKAMYDBfyuE
"Cleaning streets & helping patients is not the only Seva | Sri Sathya Sai Speaks | Nov 20, 2000",https://www.youtube.com/shorts/OtU937eMHKQ
"Where did Buddha find liberation after all spiritual practices? |Sri Sathya Sai Speaks |Dec 25, 2001",https://www.youtube.com/shorts/_Uf4-X_1Ur8
"Buddha said there is no greater spiritual practice than this | Sri Sathya Sai Speaks | Dec 25, 2001",https://www.youtube.com/shorts/6jPzzWsqLvY
"How to have a pure conscience | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/h48X0Wii1m8
"Bharat promoted spiritual principles of Veda to the world | Sri Sathya Sai Speaks | Nov 23, 1999",https://www.youtube.com/shorts/u5nIdblxBXA
"Talk Sweetly, Never Harshly | Sri Sathya Sai Speaks | Nov 20, 2000",https://www.youtube.com/shorts/7LVrTh4d2C0
"You went around the world. What is the use? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/Dds0ZXK5y9A
"Happiness from many spiritual practices is delusion | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/Fq5mWVLY0qU
"Non-violence is not simply not harming someone | Sri Sathya Sai Speaks | Jul 29, 1996",https://www.youtube.com/shorts/r0MeqzZ29yU
"God does not have relationships like son or mother | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/Crvx9_mH3cQ
"Na Karmana Na Prajaya | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/8Gs2MMHLH7k
"Anantapur Girls Prayer to Swami | Sri Sathya Sai Speaks | Nov 20, 2000",https://www.youtube.com/shorts/oZTe_bWuKX8
"The whole world is one. Have no differences | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/9F3Km1lwEDg
"Our aim should be the goal of human life. What is it? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/PPHFSzf7fno
"Why Sathya Sai Baba never leaves Puttaparthi | Sri Sathya Sai Speaks | Nov 23, 2003",https://www.youtube.com/shorts/u7jNiXMTWMs
"Mother Easwaramma's first moments with her child | Sri Sathya Sai Speaks | Nov 23, 2003",https://www.youtube.com/shorts/Ci_TYPZ6sFw
"Why Mother Easwaramma Named Swami ‘Sathyanarayana’ | Sri Sathya Sai Speaks | Nov 23, 2003",https://www.youtube.com/shorts/wDKJrfMb_dE
"The Avatar's Entry - Easwaramma’s Divine Experience | Sri Sathya Sai Speaks | Nov 23, 2003",https://www.youtube.com/shorts/ozjdZXzvr1U
"We experience God, but with what feeling? | Sri Sathya Sai Speaks | Nov 23, 1999",https://www.youtube.com/shorts/PzCjZaIL188
"How did Aurobindo and Ramana Maharshi develop One-pointedness | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/vMxuMSlvPjQ
"Who remains a fool despite all their education? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/-GN7oD-jpkM
"Body may perish but Atma is eternal | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/xuwZJ1ASQaI
"What is it that you see, even when your eyes are open or shut? |Sri Sathya Sai Speaks | Oct 10, 2002",https://www.youtube.com/shorts/fd0VAhVZIZA
"Only One Way to Escape Karma | Sri Sathya Sai Speaks | Jul 29, 1996",https://www.youtube.com/shorts/YVFXQFUeqdU
"What’s the Use of Wealth if You Forget God? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/RUvyiJSxF4w
"The Smallest Service is Better than Any Pilgrimage or Penance | Sri Sathya Sai Speaks | Nov 20, 2000",https://www.youtube.com/shorts/sjAVf_ra458
"Even Excess in Food and Speech Is Himsa. How? | Sri Sathya Sai Speaks | Jul 29, 1996",https://www.youtube.com/shorts/xnfKpchmm5M
"Why should we do Seva? | Sri Sathya Sai Speaks | Nov 20, 2000",https://www.youtube.com/shorts/WHOB4pJNwD0
"Watch your Step, not the Wall Posters | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/LZbmVVWtNd4
"Students should be careful mentally and psychologically | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/KZtuINZI4zo
"Swami Singing Bhaja Govindam | Sri Sathya Sai Speaks | Oct 10, 2002",https://www.youtube.com/shorts/HC4HurOGqyY
"How to go from a monkey to a cultured human being? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/zg9Q7OTU1NI
"In modern youth, love goes on changing. What is the true goal? Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/SvFricYvqqM
"You came alone and you will leave alone | Sri Sathya Sai Speaks | Oct 10, 2002",https://www.youtube.com/shorts/xiosYZttqYY
"All that you see, hear and do is not true. What is the truth? | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/SBD2a0ZzKq4
"God is Love. Love is God | Sri Sathya Sai Speaks | Dec 25, 2001",https://www.youtube.com/shorts/pac5_XbYLas
"What does Mother Earth teach us? | Sri Sathya Sai Speaks | Mar 20, 1996",https://www.youtube.com/shorts/baG_ZhWQ9Ds
"You are not separate from Me. You and I are one | Sri Sathya Sai Speaks | May 21, 2004",https://www.youtube.com/shorts/ZvZQ6wNOatM
"There is no separation for Me | Sri Sathya Sai Speaks | May 21, 2004",https://www.youtube.com/shorts/1QPRxbmXi8c
"Never get frustrated that you can't see Baba | Sri Sathya Sai Speaks | May 21, 2004",https://www.youtube.com/shorts/5Wbl0XYjxLE
"Lord Hanuman's lesson for man | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/puXqd4g22SQ
"What is the difference between Prakriti and Ritam? | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/5W0HqZSOmY0
"This body is not Sai Baba. I am you, you are Me | Sri Sathya Sai Speaks | May 21, 2004",https://www.youtube.com/shorts/EUdS0Goz1hs
"To truly know the Atma, keep this in your view | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/krXmWYqtNd8
"Love is My property. I am the owner of your love | Sri Sathya Sai Speaks | March 02, 2003",https://www.youtube.com/shorts/AAgEi21tP2o
"How keenly one hears bad words, but not good ones | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/JgjG13dahvM
"Do not wait until old age to act on this | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/yQwJR1cfPmw
"Where there is ego there is danger | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/e-mzUVFkKyU
"Differences of opinion are natural; learn to adjust | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/oPZhCNH7rPs
"How is God the Generator (Jana-rator)? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/oKLpQPZ5v_U
"You cannot be sacred if you don't have this one thing | Sri Sathya Sai Speaks |  Mar 02, 2003",https://www.youtube.com/shorts/k1H_JfxaYFI
"How long can you claim your body? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/wJRNwP0I-eA
"Wherever you go, let your behavior reflect Prasanthi Nilayam | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/mzLpLex3F_U
"I don't want your appreciation of the discourse | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/_28p-AQZTCM
"What is the fundamental right of man? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/PHLEcH1wNCM
"Many declare themselves as devotees but behave badly | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/Y4qNRPsoDnQ
"If our bodies are like cars, who is the Driver? | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/iR2ZNVz7lww
"The mind is not a monkey mind. Then what is it? | Sri Sathya Sai Speaks | Jan 14, 2002",https://www.youtube.com/shorts/eA46QauD2pA
"Love is not one-way traffic | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/-XRpmGihU7A
"The Mind is the Origin of Everything | Sri Sathya Sai Speaks | March 01, 2003",https://www.youtube.com/shorts/aAoE_yqVFYk
"At times of stress, think of God | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/MY0r5IzIIqU
"Don't fill poison in a gold container | Sri Sathya Sai Speaks | March 02, 2003",https://www.youtube.com/shorts/aaqaiMQUkHA
"The Secret behind Hanuman's Virtue and Strength | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/NI9u9scwLfY
"Are There Institutions Like Sai's Anywhere in the World? | Sri Sathya Sai Speaks | March 02, 2003",https://www.youtube.com/shorts/7_n050IQcYU
"What to do with our 24 hours in a day | Sri Sathya Sai Speaks | March 20, 1996",https://www.youtube.com/shorts/_-f6iy8I2DQ
"When can one transcend Maya (delusion)? | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/Q6KpsKLXbKg
"If there is no goodness in you, how can Sai give you joy? | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/7U2vR44Q5Gg
